	en	fr	es	el	it	ar	de	ja
archive_name	Archiving	Archivage	Archivando	Αρχειοθέτηση	Archiviazione	الأرشفة	Archivieren	アーカイブ
archive_description	Archive an URL or a .wacz file	Archiver une URL ou un fichier .wacz	Archivar una URL o un archivo .wacz	Αρχειοθέτηση μιας διεύθυνσης URL ή ενός αρχείου .wacz	Archiviare un URL o un file .wacz	أرشفة عنوان URL أو ملف .wacz	Eine URL oder eine .wacz-Datei archivieren	URL または .wacz ファイルをアーカイブする
submit_button	Archive	Archiver	Archivar	Αρχειοθέτηση	Archiviare	أرشفة	Archivieren	アーカイブする
clear_button	Clear	Effacer	Limpiar	Καθαρισμός	Cancella	مسح Löschen		クリア
archive_wacz_accordion	Archive a .wacz file	Archiver un fichier .wacz	Archivar un archivo .wacz	Αρχειοθέτηση αρχείου .wacz	Archivia un file .wacz	أرشفة ملف .wacz	Eine .wacz-Datei archivieren	.wacz ファイルをアーカイブする
links_card_title	Archivable links	Liens archivables	Enlaces archivables	Σύνδεσμοι που μπορούν να αρχειοθετηθούν	Link archiviabili	روابط قابلة للأرشفة	Archivierbare Links	アーカイブ可能なリンク
open_links_button	Open links in new tabs	Ouvrir les liens dans de nouveaux onglets	Abrir enlaces en nuevas pestañas	Άνοιγμα συνδέσμων σε νέες καρτέλες	Apri i collegamenti in nuove schede	افتح الروابط في علامات تبويب جديدة	Links in neuen Tabs öffnen	リンクを新しいタブで開く
embed_link	Embed link	Lien embed	Enlace incrustado	Ενσωματωμένος σύνδεσμος	Link incorporato	رابط مُضمّن	Eingebetteter Link	リンクを埋め込む
android_link	Android link	Lien Android	Enlace de Android	Σύνδεσμος Android	Link Android	رابط Android	Android-Link	アンドロイドリンク
mobile_link	Mobile link	Lien mobile	Enlace móvil	Σύνδεσμος κινητού	Link mobile	رابط الجوال	Mobiler Link	モバイルリンク
